@RELATION email-features

@ATTRIBUTE containJS NUMERIC
@ATTRIBUTE numLinks NUMERIC
@ATTRIBUTE numDomainMisMatch NUMERIC
@ATTRIBUTE isHtmlEmail NUMERIC
@ATTRIBUTE numDotsInSender NUMERIC
@ATTRIBUTE IPAddrInUrl NUMERIC
@ATTRIBUTE hasKeywordInLinkText NUMERIC
@ATTRIBUTE numDistinctDomains NUMERIC
@ATTRIBUTE disparitiesHrefAndLinkText NUMERIC
@ATTRIBUTE keywordNorm0 NUMERIC
@ATTRIBUTE keywordNorm1 NUMERIC
@ATTRIBUTE keywordNorm2 NUMERIC
@ATTRIBUTE keywordNorm3 NUMERIC
@ATTRIBUTE keywordNorm4 NUMERIC
@ATTRIBUTE keywordNorm5 NUMERIC
@ATTRIBUTE class {phishing,non-phishing}

@DATA
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,phishing
0.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,phishing
0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.024390243902439025,0.016260162601626018,0.008130081300813009,phishing
0.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.023923444976076555,0.019138755980861243,0.0,0.019138755980861243,0.03349282296650717,0.0,phishing
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,phishing
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phishing
0.0,6.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0072992700729927005,0.021897810218978103,0.0072992700729927005,0.021897810218978103,0.014598540145985401,0.0072992700729927005,phishing
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phishing
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,phishing
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,phishing
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,phishing
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,phishing
0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.004807692307692308,0.014423076923076924,0.019230769230769232,0.038461538461538464,0.004807692307692308,0.004807692307692308,phishing
0.0,8.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.03349282296650718,0.023923444976076555,0.0,0.03349282296650718,0.009569377990430622,0.009569377990430622,phishing
0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.005128205128205128,0.0,0.05641025641025641,0.020512820512820513,0.015384615384615385,phishing
0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.006756756756756757,0.0033783783783783786,0.006756756756756757,0.02364864864864865,0.02702702702702703,0.0033783783783783786,phishing
0.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0,1.0,0.015267175572519083,0.04580152671755725,0.0,0.0,0.015267175572519083,0.0,phishing
0.0,12.0,6.0,0.0,1.0,0.0,1.0,6.0,1.0,0.00641025641025641,0.009615384615384616,0.003205128205128205,0.01282051282051282,0.028846153846153848,0.0,phishing
